Среднемесячная номинальная начисленная заработная плата на одного работника по полному кругу организаций (рубль, Всего (по всем формам собственности), значение показателя за год);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;;;;;;;;;;
;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;;;;;;;;;;;
Российская Федерация;4 360,3;5 498,5;6 739,5;8 554,9;10 633,9;13 593,4;17 290,1;18 637,5;20 952,2;23 369,2;26 628,9;29 792;32 495,4;34 029,5;;;;;;;;;;;
    Центральный федеральный округ;4 432,6;5 872,8;7 276,3;9 621,8;12 117,4;15 876,7;20 665,7;22 404,6;25 376,9;28 449,4;32 466;36 212,5;39 944,8;41 961,4;;;;;;;;;;;
        Белгородская область;3 493,2;4 468,6;5 284,4;6 775,4;8 336,9;10 479,5;13 508,5;14 061;15 938,4;17 667,6;20 002,1;22 220,9;23 895,1;25 456,2;;;;;;;;;;;
        Брянская область;2 612,5;3 316;4 196,1;5 235,3;6 533,5;8 189,6;10 220,1;10 950,7;12 325,6;13 912;16 530;18 973,9;20 911;21 679;;;;;;;;;;;
        Владимирская область;3 165,7;4 024,6;4 750,9;6 066,8;7 434,9;9 688,1;12 126,1;13 131,2;14 484,4;16 313,9;18 343,4;20 927,3;22 580,6;23 876,5;;;;;;;;;;;
        Воронежская область;2 579,7;3 549,1;4 340,6;5 382,2;6 750,3;8 730,9;11 490,2;12 786,1;14 337,3;16 054,7;19 538,1;21 825,2;24 000,7;24 905,9;;;;;;;;;;;
        Ивановская область;2 595,1;3 254,6;4 078,9;5 143,7;6 362,6;8 171,6;10 208,8;11 487,9;13 123,3;14 436,2;16 998,1;18 981,5;20 592,2;21 160,5;;;;;;;;;;;
        Калужская область;3 457,3;4 489,3;5 642,8;7 066,4;8 592,5;10 926,8;14 085,2;15 411,1;17 681,6;20 000,8;23 709,6;25 756,6;28 247,8;29 939,1;;;;;;;;;;;
        Костромская область;3 068,1;3 869,3;4 723,2;5 974,6;7 325,8;9 058,1;11 456,9;12 447,1;13 525,8;14 890,5;16 895,5;19 156,5;20 867,4;21 796,2;;;;;;;;;;;
        Курская область;2 866;3 973,7;4 889,1;5 475,9;6 924,9;8 856,8;11 437,4;12 487,7;14 006,5;16 240,8;18 690;21 234,2;23 098,5;23 921,4;;;;;;;;;;;
        Липецкая область;3 388,5;4 394,8;5 485,3;6 929,4;8 634,3;10 907,1;13 372,4;13 871;15 429,8;17 010,4;19 416,6;21 390,5;23 133,4;24 524,1;;;;;;;;;;;
        Московская область;4 802,6;6 071,2;7 399,2;9 557,7;12 263,4;16 234,5;21 502,8;23 341,8;25 417,4;28 585,6;32 302,5;35 690,3;38 598,2;40 642,7;;;;;;;;;;;
        Орловская область;3 028,7;3 563,5;4 392,9;5 430,6;6 773,7;8 610,7;11 152,2;11 854,3;13 174,2;14 528,6;16 888;19 272,5;20 885;21 772,1;;;;;;;;;;;
        Рязанская область;3 094,9;4 028,1;4 964,8;6 149,7;7 677,1;9 796,6;12 686,3;13 439,5;15 288,9;16 717,7;19 098,4;21 796,5;24 280,2;25 481,6;;;;;;;;;;;
        Смоленская область;3 323;4 173,3;5 012;6 190,6;7 474,7;9 552,1;12 050,7;13 031,5;14 513;16 189,4;17 941,6;20 447,3;22 279,2;23 469,8;;;;;;;;;;;
        Тамбовская область;2 554,6;3 303,6;4 081,4;5 008,5;6 275,9;7 903;10 295,7;11 605,8;12 623,9;14 292,9;16 866,3;19 056;20 757,1;21 725,2;;;;;;;;;;;
        Тверская область;3 306,5;4 267,9;5 385,9;6 486,3;8 040,3;10 177;13 064,7;14 160,7;16 155,3;17 747,3;20 246,1;22 449,9;23 866;24 804,3;;;;;;;;;;;
        Тульская область;3 270,5;4 205,5;5 172,3;6 412,4;7 851;10 137,1;12 994,1;14 338,3;15 640,7;17 225,1;20 121,3;23 030,3;25 872,6;27 554,5;;;;;;;;;;;
        Ярославская область;3 889,5;4 952,1;6 164,1;7 366,2;8 994,5;11 214,8;13 802,9;14 417,6;16 075,8;18 111;20 397;23 003,3;25 433,5;26 747,7;;;;;;;;;;;
